Ubicación;Código;MATERIAL;1 LECTURA;2 LECTURAS;DESCRIPCIÓN
M12/B08/00;2240982;EQUIPO OPACO PERFUSIÓN BOMBA BRAUN;2;4;EQ BMB INF TRANSLUCIDO C/SEGURIDAD 250CM
M12/B08/00;2138475;JERINGA INSULINA AGUJA SC;50;100;JERINGA INSUL 1ML C/AGUJ C/SEG 29G 13MM
M12/B08/00;2139051;JERINGA BOMBA DE PERFUSIÓN BRAUN 50ML;6;12;JERINGA P/ BMB PERF..ULA ASPIRACION 50ML
M12/B09/00;2138375;JERINGA SONDA NASOGASTRICA SNG 50ML CONO ANCHO;20;40;JERINGA CONO CAT S/AGUJ S/LATX 3C 50ML
M12/B09/00;2138389;JERINGA 50ML CONO LUER VÍA VENOSA;5;10;JERINGA 3 CUERPOS CONO LUER 50ML
M13/B01/00;2220906;EQUIPO BOMBA PCA INTRAVENOSA CADD BLANCO;5;10;EQ INF BMB DLR ANEST 198CM
M13/B01/00;2243603;EQUIPO BOMBA PCA EPIDURAL CADD AMARILLO;5;10;EQ P/ BMB DLR ANEST EPIDURAL 312CM
M13/B01/00;2282583;EQUIPO TRANSFUSIÓN SANGRE BOMBA BRAUN;2;4;EQ P/ BMB SANGRE SP..PRIMESTOP 200MICRAS
M13/B01/00;2331486;EQUIPO COMÚN TRANSFUSIÓN DE SANGRE;2;4;EQ TRANSFUSION SANGRE
M13/B02/00;2277578;PULSERA GRICODE NST;50;100;PULSERA SEGUR TRANSFUSIONAL 7D GRICODE
M13/B02/00;2139229;EQUIPO BOMBEO TRANSFUSIÓN DE SANGRE PERILLA;2;4;EQ SANGRE BOMBEO RAP
M13/B02/00;2230367;EQUIPO DE SUERO CON MICROGOTERO;2;4;"EQ DOSIFICADOR ""Y"" ..NTIBACTERIANO 150ML"
M13/B04/00;1102391;PILA CIL ALCALINA 1,5 V LR06;8;16;PILA CIL ALCALINA 1,5 V LR06
M13/B05/00;2141385;ESPARADRAPO PAPEL 2,5CMX10M;12;24;ESPARADRAPO PAPEL 2,5CMX10M
M13/B05/00;2141378;ESPARADRAPO PLAST 5CMX10M;6;12;ESPARADRAPO PLAST 5CMX10M
M14/B01/00;2142497;GUANTE ESTERIL S/POLVO NITRILO TALLA M;5;10;GUANTE EST S/ POLVO NITR T-M B/2
M14/B01/00;2142496;GUANTE ESTERIL S/POLVO NITRILO TALLA G;3;6;GUANTE EST S/ POLVO NITR T-G B/2
M14/B01/00;2142460;GUANTE PLÁSTICO ESTERIL PAYASO;100;200;GUANTE TACTO EST COPOLIMERO T-M
M14/B02/00;2142498;GUANTE ESTERIL S/POLVO NITRILO TALLA P;5;10;GUANTE EST S/ POLVO NITR T-P B/2
M14/B02/00;2281566;GUANTE POLIISOPOLÍMERO S/POLVO 8,5;3;6;GUANTE QUIR POLIISO.. SINT S/ POLVO N8,5
M14/B02/00;2280866;GUANTE POLIISOPOLÍMERO S/POLVO 8;10;20;GUANTE QUIR POLIISO..NO SINT S/ POLVO N8
M14/B02/00;2280861;GUANTE POLIISOPOLÍMERO S/POLVO 7,5;10;20;GUANTE QUIR POLIISO..INT S/ POLVO N7 1/2
M14/B02/00;2280859;GUANTE POLIISOPOLÍMERO S/POLVO 6;15;30;GUANTE QUIR POLIISO..NO SINT S/ POLVO N6
M14/B03/00;2280860;GUANTE POLIISOPOLÍMERO S/POLVO 7;50;100;GUANTE QUIR POLIISO..NO SINT S/ POLVO N7
M14/B04/00;2141182;APÓSITO DE GASA COMÚN OPERDRES 9X30;15;30;APST CURA SECA ADH ..BLE OPERDRES 9X30CM
M14/B04/00;2245961;GUANTE POLIISOPOLÍMERO S/POLVO 6,5;50;100;GUANTE QUIR POLIISOP..SINT S/POLVO N6,5
M14/B05/00;2141426;GASAS ESTÉRILES 10X10;300;600;GASA EST TNT 4CAPAS..PLEGADA 10X10CM B/5
M16/B06/00;2116165;SEDA 2/0 AGUJA RECTA;6;12;S.M.N.R.BIO MUL SED..PTRI 60MM 2/0 100CM
M14/B07/00;2141432;GASAS LIMPIAS NO ESTÉRILES;2.400;4.800;GASA N/ EST TNT 4CA..M PLEGADA 7,5X7,5CM
M14/B08/00;2141396;COMPRESAS ESTÉRILES 10X20;102;204;CMPRS EST TNT S/CRX..PLEGADA 10X20CM B/2
M15/B01/00;2141695;VENDAJE TUBULAR MALLA 4 TUBIFIX;1;2;VENDAJE TBLR MLL N4
M15/B01/00;2141693;VENDAJE TUBULAR MALLA 5 TUBIFIX;1;2;VENDAJE TBLR MLL N5
M15/B01/00;2141660;VENDAJE TUBULAR PUNTO 4 TUBINET;1;2;VENDAJE TBLR PUNTO ALGODON N4
M15/B01/00;2141696;VENDAJE TUBULAR MALLA 6 TUBIFIX;1;2;VENDAJE TBLR MLL N6
M15/B01/00;2141661;VENDAJE TUBULAR PUNTO 5 TUBINET;1;2;VENDAJE TBLR PUNTO ALGODON N5
M15/B01/00;2141662;VENDAJE TUBULAR PUNTO 7 TUBINET;1;2;VENDAJE TBLR PUNTO ALGODON N7
M15/B01/00;2141697;VENDAJE TUBULAR MALLA 7 TUBIFIX;1;2;VENDAJE TBLR MLL N7
M15/B02/00;2204476;VENDAJE ALGODÓN ALMOHADILLADO 10CM;4;8;VENDA ALMOHADILLADO SINT 10CMX2,7M
M15/B02/00;2141593;VENDAJE ALGODÓN ALMOHADILLADO 15CM;2;4;VENDA ALMOHADILLADO ALG. SMPL 15CMX2,75M
M15/B02/00;2141718;VENDA CREPE;10;20;VENDA CREPE 10CMX10M
M15/B03/00;2255087;ESPARADRAPO SEDA 5CM;2;4;ESPARADRAPO SEDA 5CMX5M
M15/B03/00;2241390;ESPARADRAPO TELA BLANCO 10CM;1;2;ESPARADRAPO TELA BLANCO 10CMX10M
M15/B03/00;2141358;GASA ADHESIVA 20CM;1;2;GASA ADHESIVA 20CMX10M
M15/B03/00;2141601;VENDA DE RED FINA 5CM;5;10;VENDA MLL ORILLADA 5CMX5M
M15/B03/00;2141359;GASA ADHESIVA 15CM;1;2;GASA ADHESIVA 15CMX10M
M15/B03/00;2141597;VENDA DE RED FINA 10CM;5;10;VENDA MLL ORILLADA 10CMX10M
M15/B03/00;2141732;VENDA ELÁSTICA 10CM;5;10;VENDA ELASTICA N/ ADHESIVA 9-10CMX4-5M
M15/B03/00;2141731;VENDA ELÁSTICA 8CM;4;8;VENDA ELASTICA N/ ADHESIVA 7-8CMX4-5M
M15/B04/00;2141181;APÓSITO DE GASA COMÚN OPERDRES 9X15;50;100;APST CURA SECA ADH ..BLE OPERDRES 9X15CM
M15/B04/00;2141184;APÓSITO DE GASA COMÚN OPERDRES 9X20;30;60;APST CURA SECA ADH ..BLE OPERDRES 9X20CM
M15/B04/00;2141185;APÓSITO DE GASA COMÚN OPERDRES 9X25;20;40;APST CURA SECA ADH ..BLE OPERDRES 9X25CM
M15/B05/00;2141183;APÓSITO DE GASA COMÚN OPERDRES 9X10;120;240;APST CURA SECA ADH ..BLE OPERDRES 9X10CM
M15/B05/00;2141186;APÓSITO DE GASA COMÚN OPERDRES 9X5;150;300;APST CURA SECA ADH ..ABLE OPERDRES 9X5CM
M15/B06/00;2141877;APÓSITO FILM POLIURETANO TEGADERM 6X7;100;200;FILM POLIUR TEGADERM FILM 6X7CM
M15/B06/00;2141875;APÓSITO FILM POLIURETANO TEGADERM 10X12;50;100;FILM POLIUR TEGADERM FILM 10X12CM
M15/B06/00;2336954;APÓSITO FILM VÍA CENTRAL CVC Y PICC;20;40;APST FIJN P/ CAT CE..TE REFOR 8,5X11,5CM
M15/B06/00;2201527;APÓSITO FILM VÍA PERIFÉRICA CVP;100;200;APST FIJN P/ CAT PERI TRANSPARENTE 7X8CM
